date,x,y,cluster_id
2020-03-14,1.2023729,1.8187879,0
2020-03-15,1.1686025,1.8984644,0
2020-03-16,1.1983862,1.7389238,0
2020-03-17,1.2033834,1.9204602,0
2020-03-18,1.1790527,1.890498,0
2020-03-19,0.908615,5.5882616,1
2020-03-20,0.8274593,3.2965453,0
2020-03-21,0.75262105,3.4379725,0
2020-03-22,0.7475308,3.3191016,0
2020-03-23,0.7767745,4.2951813,1
2020-03-24,0.7456115,3.6272924,1
2020-03-25,0.7503552,3.5234828,0
2020-03-26,0.66675997,3.592934,0
2020-03-27,0.7447177,3.4536753,0
2020-03-28,0.72601,3.44855,0
2020-03-29,0.7028521,3.363612,0
2020-03-30,0.744445,3.9330401,1
2020-03-31,0.6783738,3.5814629,0
2020-04-01,0.6947184,3.5958264,0
2020-04-02,0.7445109,3.690668,0
2020-04-03,0.66520095,3.5894413,0
2020-04-04,0.69399786,3.5901935,0
2020-04-05,0.6769825,3.609211,0
2020-04-06,0.7718791,3.846928,1
2020-04-07,0.7202958,3.5760372,0
2020-04-08,0.70430243,3.6776605,1
2020-04-09,0.71441483,3.6047747,0
2020-04-10,0.7926713,3.4146338,0
2020-04-11,4.168718,3.3174114,2
2020-04-12,2.9518566,4.4126277,1
2020-04-13,4.177518,2.5615306,0
2020-04-14,4.2222543,2.927358,2
2020-04-15,4.093317,1.1608676,0
2020-04-16,1.6607103,5.488045,1
2020-04-17,4.4989705,3.6528757,2
2020-04-18,3.763285,5.2886243,2
2020-04-19,5.3231044,3.255708,2
2020-04-20,3.8714306,1.2258848,0
2020-04-21,5.0880423,3.01566,2
2020-04-22,3.30386,5.5776,1
2020-04-23,2.9399712,5.8320966,1
2020-04-24,5.451407,4.6857586,2
2020-04-25,5.5446143,4.54671,2
2020-04-26,5.5913744,4.7202063,2
2020-04-27,5.57762,5.2802134,2
2020-04-28,5.54486,5.0857444,2
2020-04-29,1.2007763,6.4633904,1
2020-04-30,3.9830909,4.1290493,1
2020-05-01,3.969436,5.2802978,1
2020-05-02,4.137347,5.1611567,1
2020-05-03,4.15408,4.6978226,2
2020-05-04,4.153906,4.829636,1
2020-05-05,4.1475306,5.0091124,1
2020-05-06,5.805499,6.0792713,1
2020-05-07,1.727255,6.5191317,1
2020-05-08,4.9091434,4.8312254,2
2020-05-09,4.3007975,3.6018145,2
2020-05-10,2.0590317,0.26724145,0
2020-05-11,2.4407475,1.5012789,0
2020-05-12,2.7489417,3.1712027,1
2020-05-13,2.344189,4.9757023,1
2020-05-14,2.3240585,5.068167,1
2020-05-15,2.63575,1.3480611,0
2020-05-16,3.011209,3.0988097,2
2020-05-17,3.4080167,5.584237,1
2020-05-18,4.438816,4.915883,2
2020-05-19,4.5810575,4.8000703,2
2020-05-20,4.6862497,2.3046577,2
2020-05-21,3.4101505,0.4611085,0
2020-05-22,5.684919,3.0886157,2
2020-05-23,5.7794433,2.7966142,2
2020-05-24,3.8220387,0.58613485,0
2020-05-25,3.95172,2.7140906,2
2020-05-26,5.346596,1.8881366,2
2020-05-27,2.2932155,4.7085986,1
2020-05-28,3.1283085,5.4765606,1
2020-05-29,5.389629,3.218774,2
2020-05-30,3.392093,5.528515,1
2020-05-31,5.137668,3.5722988,2
2020-06-01,1.9387385,6.428351,1
2020-06-02,2.7270079,0.8251971,0
2020-06-03,3.9436235,4.675236,2
2020-06-04,3.7565196,4.7060895,2
2020-06-05,4.9365206,3.0643063,2
2020-06-06,4.8446264,2.8061974,2
2020-06-07,4.054546,4.5931053,2
2020-06-08,6.0470467,2.8572776,2
2020-06-09,7.7432737,2.8288176,2
2020-06-10,7.7717495,2.923039,2
2020-06-11,3.884612,0.2881592,0
2020-06-12,7.3891935,2.5540092,2
2020-06-13,7.475466,1.4760449,2
2020-06-14,7.3419585,1.1162537,2
2020-06-15,6.6327,1.9515816,2
2020-06-16,7.765909,2.0197206,2
2020-06-17,7.3259716,1.2356119,2
2020-06-18,8.593907,1.8885734,2
2020-06-19,8.08454,1.80225,2
2020-06-20,8.721627,1.972344,2
2020-06-21,8.745321,1.8934503,2
2020-06-22,7.6580267,4.1384683,2
2020-06-23,8.489755,2.1062522,2
2020-06-24,5.7663503,0.89639854,2
2020-06-25,7.112653,0.92391646,2
2020-06-26,7.0261426,0.8284203,2
2020-06-27,6.9410605,0.7980254,2
2020-06-28,7.8888144,0.87125283,2
2020-06-29,8.076399,0.86276823,2
2020-06-30,8.0298195,0.68019,2
2020-07-01,9.788022,2.0068846,2
2020-07-02,10.001653,1.3671354,2
2020-07-03,10.173593,1.4706054,2
2020-07-04,10.258663,1.7736659,2
2020-07-05,10.130965,1.3913453,2
2020-07-06,8.147424,4.3418217,2
2020-07-07,9.502554,1.7164026,2
2020-07-08,8.738133,3.1263547,2
2020-07-09,9.371625,1.786122,2
